sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
don dam par grub pa|"Existant (accompli, étant, ou qui est.) en réalité absolue, ultime; Existant en soi, Subsistant en soi, de soi, par soi; Existant naturellement; Existant en l'ainsité"
don gnyer|Faire effort, Tendre vers,  S'efforcer à,
don du gnyer ba|Faire effort, Tendre vers,  S'efforcer à,
don spyi|"Concept, signifiant, Représentation conceptuelle;"
don yod grub pa|Amoghasiddhi Celui qui accompli ce qui est bon, ce qui fait sens, ce qui est à faire.
don grub|Amoghasiddhi Celui qui accompli ce qui est bon, ce qui fait sens, ce qui est à faire.
dpa' mo|Brave, Courageux, Vaillant, Héro,
dpa' bo|Brave, Courageux, Vaillant, Héro,
dpag bsam shing|L'arbre qui exauce les souhaits, L'arbre d'abondance
dpag tu med pa|Immesurable, Illimité,
dpag yas|Immesurable, Illimité,
dpal 'byor|Gloire et richesse, Richesses, Prospérité,
dpal ldan|Sri, Sire, Sieur, Seigneur, Glorieux, Valeureux
dpe|Exemple, Image, Symbole, Illustration, Analogie, Métaphore, Modèle, Echantillon,
dpe byad brgyad bcu|Les 80 marques mineures (du corps d'un Bouddha)
dpe med|Inimaginable Irreprésentable, ,
dpe'i 'od gsal|La claire lumière exemple, La claire lumière analogique
dpe'i ye shes|La gnose analogique, L'expérience primordiale analogique,
dpyad pa|Forme de dpyod pa (ci-dessous)
dpyad sgom|Méditation analytique
dpyod pa|Analyse, examen, Analyser, examiner,
drag po|Fort, terrible, féroce, courroucé,
dran pa|Avoir présent à l'esprit, Garder présent à l'esprit, Se souvenir, Ne pas oublier, Se remémorer, Rappel, Mémoire, Souvenir,
dran pa shes bzhin bag yod|Souvenir, attention et precaution.
drang don|Sens didactique, Sens pédagogique Sens pour guider, Sens intentionnel
drang srong|Rishi, Un saint, Un homme droit, Un honnête homme, Prophète,
'dre|Fantôme, Gnome, Esprit malin, Mélanger
'dren pa|Guide, Inviter, Conduire, Tirer (de l'eau)
dri ma|Odeur, Impureté, Tache, Saleté, Faute, Obscurité
dri ma med pa|Immaculé
dri med|Immaculé
dri za|Mangeur d'impuretés, Mangeur d'odeur,
dril bu|Cloche,  Clochette
drod|Chaleur, Energie, Intensité, quantité,
drod rtags|Signes d'accomplissement,Signes d'intensité, Signes de chaleurs
drod tshad|Température (Mesure de la chaleur)
drwa ba|Filet, toile
du 'bral med pa|Libre d'union et de séparation
'du 'bral gnyis med|Libre d'union et de séparation
du byed|Samskara Facteurs formateurs, Formations, Informations, Impulsions, Facteurs agrégatifs, d'agrégation
'dus byed|Samskara Facteurs formateurs, Formations, Informations, Impulsions, Facteurs agrégatifs, d'agrégation
'du shes|Conception, Représentation, Nomination, Perception
dud 'gro|animal,
byol song|animal,
'dud pa|S'incliner, se courber, Rendre hommage,
dug|poison
'dul ba|Vinaya, Discipline
dul ba|La Discipline, Vinaya, Discipliner.
'dul ba|La Discipline, Vinaya, Discipliner.
dun pa|Désirer, Aspirer, Tendre vers, Aspiration, Intention,
dur khrod|Charnier, Lit.: lieu funéraire
'dus byas|Composés, Composite,
dus dang gnas med|Sans temps ni lieu.
dwangs ma|Essence, quintessence, sève, (dvangs ma,   dvangs)
dwangs|Essence, quintessence, sève, (dvangs ma,   dvangs)
dzam b+ha la|Dzambhala (dieu des richesses)
'dzin ma|La mère, La terre, La compagne, (celle qui vous protége, prend soin de vous, vous saisie)
'dzin med|Sans saisie, Sans fixation, Sans appréhension,
dzin pa|Saisir, Appréhender,
gzung ba|Saisir, Appréhender,
bzung ba|Saisir, Appréhender,
'dzin stangs|La façon de saisir, d'appréhender,
'dzin zhen|Saisie et attachement,
g.yang|Abîme,  Précipice, Richesses, Fortune, Bienfaits,
g.yeng ba|Distraction, Dispersion, Eparpillement, Errance, Agitation, Paresse,
rnam g.yeng|Distraction, Dispersion, Eparpillement, Errance, Agitation, Paresse,
rnam par g.yeng ba|Distraction, Dispersion, Eparpillement, Errance, Agitation, Paresse,
g.yo ba|Bouger, Se mouvoir, Etre animé, Ce qui bouge, L'animé, Onduler, Ondoyer, Ondoiement, Instable, Action, Mouvement, Passionné,
g.yo sgyu|Hypocrisie, Tromperie, Fourberie,
'gags pa|Arrêter, faire cesser, entraver, réfuter, récuser.
'gogs pa|Arrêter, faire cesser, entraver, réfuter, récuser.
 'gag pa|Arrêter, faire cesser, entraver, réfuter, récuser.
'gog pa|Arrêter, faire cesser, entraver, réfuter, récuser.
dgag pa|Arrêter, faire cesser, entraver, réfuter, récuser.
dgags pa|Arrêter, faire cesser, entraver, réfuter, récuser.
gang la gang 'dul|Aider chacun selon ses besoins
gang zag|personne
gcig dang du bral|Libre de l'un et du multiple
gcig dang tha dad|Un ou multiple Unité ou multiplicité Même ou différent
gdags gzhi|Base de conceptualisation, de désignation, d'imputation.
gdams ngag|(h) Instructions , Conseils, Instructions orales,
zhal gdams|(h) Instructions , Conseils, Instructions orales,
gdangs|Air, mélodie, Ton, intonation, Eclat, (pour la lumière ou le son), radiation, irradiation, lustre, Teint, radiance, (ce second sens est plutôt pour mdangs)
gdeng|Certitude, confiance, assurance,
gdengs|Certitude, confiance, assurance,
gdod ma|Origine, début, premier
thog ma|Origine, début, premier
gdon|Esprit malfaisant (qui rend fou) Démon
gdul bya|Disciple, (les personnes) à aider, à discipliner
glo bur|Adventice
glo bur gyi dri ma|Impuretés adventices
glod pa|Détendre, relâcher Détendu, relâché
lhod pa|Détendre, relâcher Détendu, relâché
gnad|Point essentiel, Important, Essentiel, L'artère de vie dans le corps,
gnad du bsnun pa|Appliquer l'essentiel, Toucher l'essentiel,
gnad la dbab pa|Venir au point essentiel, Frapper au point essentiel
gnas|Lieu, pays, contrée, localilté, Lieu sacré (de pèlerinage) Base, Demeure, Reste, Demeure, Vit, Existe, est, Existant,
gnas bskor ba|Faire un pèlerinage, (Faire le tour d'un lieu sacré)
gnas dang gnas ma yin pa|Lieu approprié et lieux inaproprié, Adéquat et inadéquat, Ce qui convient et ce qui ne convient pas
gnas lugs|Etat fonndamental, Disposition essentielle, Situation fondamentale, Nature fondamentale, Mode d'être essential,
yin lugs|Etat fonndamental, Disposition essentielle, Situation fondamentale, Nature fondamentale, Mode d'être essential,
gnas tshul|Etat fonndamental, Disposition essentielle, Situation fondamentale, Nature fondamentale, Mode d'être essential,
gnas min|Inaproprié, Inadéquat
gnas pa|Rester, Demeurer, Vivre, Exister, Etre, Supporter, Apparaître,
gnas skabs|Temporairement, Pour un temps donné,
gnas tshul|Etat, Disposition, condition, situation, Façon d'être, Manière d'être,
gnod byed|Faire du mal, Malfaiteur,
gnod pa|Nuire, Porter préjudice.
gnod sems|Malveillance, Esprit malveillant,
gnong ba|Avoir des remords, Remords, Gène,
gnyis 'dzin|Saisie dualiste,   Saisie duelle,
gzung 'dzin|Saisie dualiste,   Saisie duelle,
gnyis su 'dzin pa|Saisie dualiste,   Saisie duelle,
gnyis med|Sans dualité,  Non duel,
gnyis su med pa|Sans dualité,  Non duel,
mi gnyis|Sans dualité,  Non duel,
tha mi dad|Sans dualité,  Non duel,
gnyug ma|Etat naturel (de l'esprit)
gog pa|Voir 'gags pa
zad pa|Voir 'gags pa
'gogs pa'i bden pa|Réalité de la cessation
gol sgrib med pa|Sans erreur et sans voile
'grel pa|commentaire
'gro ba|Les vivants, les migrants
'gro ba'i mgon po|Le Seigneur des vivants
'gro 'ong|Allés et venues
'gro 'ong med pa|Sans allés et venues
'gro 'ong|Sans allés et venues
grogs|Ami, aide
grol ba|Etre libéré
 'grol ba|Etre libéré
grub bsal|Etablir ou dissiper
grub mtha'|Perspective philosophique
'grub pa|accomplir
grub thob|Siddha Accompli Réalisé
grwa zur med pa|Sans angle
gsal ba|Clarté, Lucidité, Luminosité, La nature  lumineuse, claire et lucide de l'esprit, Ce qui est clair, évident, manifeste,  Ce qui est clair, sans voile, Ce qui est à clarifier, Le sujet d'élucidation, La chose à établir,
gsal bar byed pa|Rendre clair, Elucider, Clarifier,
gsal byed|Rendre clair, Elucider, Clarifier,
gsal 'debs|Rendre présent à l'esprit, Evoquer, Se représenter, S'imaginer,
gsal thebs|Rendre présent à l'esprit, Evoquer, Se représenter, S'imaginer,
gsal bar 'debs pa|Rendre présent à l'esprit, Evoquer, Se représenter, S'imaginer,
gsal btab|Rendre présent à l'esprit, Evoquer, Se représenter, S'imaginer,
gsal 'grib med pa|Sans clarté ni obscurité,
gsal gsal rjen rjen|Tout clair et tout nu, Clair et nu, Très clair et tout dépouillé, Sans voile,
gsal lam lam|"Clair, clair; Très clair, Vraiment clair,"
gsal lhag ge ba|Clarté évidente, manifeste, Clarté supérieure,
gsal lhang nge ba|Clarté très vive, extrêmement vive,  Super clair et évident,
gsal sal le ba|Clarté très brillante, très claire,
gsal le ba|Clarté très brillante, très claire,
sal le ba|Clarté très brillante, très claire,
gsal sing nge ba|Clarté très vive et très pure, Vive clarté,
gsal sang nge ba|Clarté très vive et très pure, Vive clarté,
sang nge|Clarté très vive et très pure, Vive clarté,
gsal snang|Apparaître clairement, Ce qui est apparu clairement, Une apparence claire, De la lumière, Eclairer, Le soleil,
gsal stong|Clarté vide, Clarté et vide indissociable, L'union de la clarté et du vide, La lucidité vide,
gsal stong dbyer med|Clarté vide, Clarté et vide indissociable, L'union de la clarté et du vide, La lucidité vide,
gsang ba|Secret,  Caché, Confidentiel, Garder secret, Ne pas montrer à autrui, Chose non manifeste,
gsang ba gsum|Les trois secrets
gsang gsum|Les trois secrets
rdo rje gsum|Les trois vajras
gsang sngags|Vajrayâna Mantra secret, La voie des mantras secrets, La voie des secrets,
gser chos|Enseignements d'or, Enseignements écrits avec de l'or sur du papier bleu, Les (cinq) enseignement d'or de la tradition Shangpa, (Nommés ainsi car Khyoungpo Néldjor les reçu des deux jnana dâkinîs en offrant beaucoup d'or)
gser chos sde lnga|Les cinq enseignements d'or Shangpa,
shangs pa'i gser chos sde lnga|Les cinq enseignements d'or Shangpa,
gser skyems|Boisson offerte aux dieux (à la déité)
gser|L'or, Le premier joyau
rin chen dang po|Le premier joyau, l'or
gshegs pa|h. Aller, Partir, Allé, Parti, Passé, Qui est passé, Qui s'est est allé
gshis|La disposition naturelle, La nature, La prédisposition naturelle, Le caractère, La qualité d'une chose, d'un article, (qui est de bonne ou de mauvaise qualité)
gshis ka|La disposition naturelle, La nature, La prédisposition naturelle, Le caractère, La qualité d'une chose, d'un article, (qui est de bonne ou de mauvaise qualité)
gshis lugs|L'état naturel (des phénomènes: la vacuité), La façon dont on est entraîné, dont on à pratiqué,  Le mode d'habituation
gso ba rig pa|La médecine, La science de la guérison,
gso sbyong|Sodjong, Pratique de purification et de vivification des engagements
sdig pa sbyong ba dang sdom pa|Sodjong, Pratique de purification et de vivification des engagements
yar gso ba|Sodjong, Pratique de purification et de vivification des engagements
gsol ba|"(h) Demander, Requérir, Offrir, Prier de, Veuillez.; Honorifique pour parole, "
gsol ba 'debs pa|(h) Prier, Adresser une prière, Faire une prière, Demander, Faire une requête, Supplier, Faire une supplique, Prière, Supplique, Demande, Requête,
gsol 'debs|(h) Prier, Adresser une prière, Faire une prière, Demander, Faire une requête, Supplier, Faire une supplique, Prière, Supplique, Demande, Requête,
gsol kha  |Offrande aux déités
gsung|h. Parole, Dires, Parole du Bouddha, Particule servant à former des termes honorifiques.
gsung 'bum|Ouvres complètes, Compilation de toutes les paroles, de tous les écrits,
gsung rab|Parole du Bouddha, Parole excellente,
gsung rab yan lag bcu gnyis|Les douze branches de la parole du Bouddha,
chos kyi rin chen|Verbe excellent
gsung rab yan lag drug bcu|Les soixante qualités de la parole du Bouddha
gsung dbyangs yan lag drug bcu|Les soixante qualités de la parole du Bouddha
yan lag drug cu'i dbyangs ldan gsung|Les soixante qualités de la parole du Bouddha
tshangs pa'i dbyangs kyi yan lag drug bcu|Les soixante qualités de la parole du Bouddha
tshangs dbyangs yan lag drug bcu|Les soixante qualités de la parole du Bouddha
dbyangs yan lag drug bcu|Les soixante qualités de la parole du Bouddha
gsur|Calcination,  Fumée, Offrande de fumée Offrandes calcinées (faites au bardowa, il s'agit d'une coutume tibétaine, dixit TDC)
gtad pa|Induire, Induction, Intention, se tourner vers, s'orienter vers,
gtad so|Orientation, référence, intention.
gtan|Constant, permanent, stable,
gtan la 'bebs pa|Arrivé à la stabilité, (Traduction) arrivée à un état de stabilité définitive.
gtan la dbab pa|Arrivé à la stabilité, (Traduction) arrivée à un état de stabilité définitive.
gtan srid|Existence permanente
gtan tshig|Raisonnement (logique), Argumentation,
gter ma|Trésor (caché et découvert), Révélation,
gti mug|Ignorance, Stupidité, opacité, Bêtise,
gtong ba|Donner, Envoyer, jeter
sbyin pa|Donner, Envoyer, jeter
gtor ma|Torma, Effigie de pâte dédiée comme offrande
gtsang|Pur, Propre, La province du Tsang
gtsang ris gnas|Lieu pur, Nom des pures demeures de Brahmâ
gtsang rme|Pur et impure, Propre et sale, Propreté
gtso bo|Le principal, L'essentiel, Le plus important, Prince, Seigneur, Suprême,
gtso sems|L'esprit central L'esprit principal
gtsug lag khang|Temple des Trois Joyaux,
gtsug rgyan|Ornement du sommet de la tête,  Ornement de l'ushnisha
gtsug tor|Ushnisha, Protubérance crânienne des Bouddhas,
gtum mo|Chandali Courroucée,
'gyur ba|Changer, changement transformer, Transformation, traduire,
gyur ba med pa|Immuable, Sans changement.
 'gyur med|Immuable, Sans changement.
mi 'gyur ba|Immuable, Sans changement.
'gyur ba'i sdug bsngal|souffrance du changement
gza' gtad med pa|Sans point de référence,  Sans orientation,
gzer|Clou, Point principal
gzhal bya|Ce qui est comprit, évalué, apprécié, réellement par un moyen de connaissance valide, Ce qui est évalué, apprécié, mesuré, analysé
gzhal bya gsum|Les trois (objets) de compréhension (d'une cognition valide)
gzhal byed|Ce qui fait comprendre, ce qui évalue, apprécie,  réellement par un moyen de connaissance valide, Ce qui évalue, apprécie, mesure, analyse
gzhal med khang|Palais immense, incommensurable, Domaine d'immensité,
gzhal yas khang|Palais immense, incommensurable, Domaine d'immensité,
pho brang|Palais immense, incommensurable, Domaine d'immensité,
gzhan|Autre, Objet, Autrui, Altérité, Ailleurs, Séparé, Extérieur, Externe, Extrinsèque,
gzhan pa|Autre, Objet, Autrui, Altérité, Ailleurs, Séparé, Extérieur, Externe, Extrinsèque,
gzhan 'byor lnga|Parmi les dix qualifications de la précieuse existence humaine ce sont les cinq qualifications qui dépendent de facteurs autres (que les qualités propres à la personne considérée)
gzhan dbang|"Dépendance, Dépendant, Relatif, Dépendant de facteurs autres, Dépendant d'autrui, Qui n'est pas indépendant,  Qui n'a pas d'autonomie, Dont les caractéristiques dépendent de facteurs extrinsèques, (différent de ""rang dbang"")"
gzhan don|"Le bien d'autrui, des autres, Ce qui est bon, profitable aux autres, Altruisme,  (différent de ""rang don, rang phan"") "
gzhen phan|"Le bien d'autrui, des autres, Ce qui est bon, profitable aux autres, Altruisme,  (différent de ""rang don, rang phan"") "
gzhan la phan pa|"Le bien d'autrui, des autres, Ce qui est bon, profitable aux autres, Altruisme,  (différent de ""rang don, rang phan"") "
gzhan 'gyur bzhi|Les quatre (facteurs mentaux) qui changent en fonction de facteurs «autres». (voir TDC)
gzhan phan gzhi bcas sgrub pa|Accomplir de bien d'autrui avec son fondement.
gzhan la phan pa gzhi dang bcas pa sgrub pa|Accomplir de bien d'autrui avec son fondement.
gzhan la gnod pa gzhi dang bcas pa spong ba|Accomplir de bien d'autrui avec son fondement.
gzhan sems shes pa'i mngon shes|La connaissance véritable de la compréhension de l'esprit d'autrui
gzhan skyes|Perspective du Samkyaqui asserte la naissance de quelque chose d'autre, Servant, Serviteur,
gzhan stong|Vide d'autre, Vide d'altérité, Vide de dualité,
gzhi|Fond, Base, Fondement, Appui, L'en soi, Terre, Contrée, Cause, Graine, Racine,
gzhi ma|Fond, Base, Fondement, Appui, L'en soi, Terre, Contrée, Cause, Graine, Racine,
gzhi bdag|Maître de la terre, du sol,  Propriétaire du sol, de la terre,
gzhi lam 'bras bu|Base, voie et fruit
gzhi med|Sans fondement, Sans fond, Sans base, Sans appui,
gzhi rdzogs|Perfection de la base
gzhi rtsa dngos med|Sans base, sans racine et sans évidence
gzhi rtsa med pa|Sans base et sans racine,
gzhi med rtsa bral|Sans base et sans racine,
gzhi snang|Apparence de la base,  Apparence fondamentale,
gzhon nu|Jeune, Nouveau, Juvénile, Adolescent, Adolescence,
