'bras bu| Fruit
'bol le ba|Détendu, relaxé, doux
bum pa'i dbang|Transmission de pouvoir du vase
brda'|Symbole, le signe
brda' brgyud|Lignée de transmission symbolique
bdag 'dzin|Attachement au moi, Croyance au moi, âtmagraha
bdag med|Absence de moi, anâtman, nairâtman
dag snang|Vision pure
bdag nyid|Identité, le soi, l'être de quelque chose, son essence
bdag po'i rkyen|Circonstance du possesseur
gdams ngag|Conseils spirituels, les conseils oraux
dam can rgya mtsho|Océan des Protecteurs assermentés
dam tshig|Lien sacré, l'engagement tantrique, samaya
dam tshig sems dpa'|Etre de samaya, Déité support, samayasattva
gdangs|Eclat lumineux
mdangs|Eclat lumineux intérieur
dwangs ma|Quintessence, l'éclat
dwangs ma dkar po|Essence blanche masculine
dwangs ma dmar po|Essence rouge masculine
dang po sangs rgyas|Bouddha Primordial  	samantabhadra
dwangs cha|Transparente clarté
ldang ba'i sems|Esprit qui émerge  	de la paix
da lta'i shes pa|Conscience au présent
brda' yig|Ecritures symboliques des Termas
bde gsal mi rtog pa|Expériences de félicité, de clarté et de non discursivité
de kho na nyid|Cela seulement, ce qui est vraiment, tattva
dal ba|Ralenti, doux, paisible
gdengs|Confiance
gdeng bzhi|Quatre confiances
sde snod gsum|Triple Corbeille  	sûtra, vinaya, abhidharma, le Tripitaka
bden par zhen pa|Attachement à la réalité, tenir pour vrai
gdan sa|Siège de la déité
bzlas pa|Réciter un mantra
dad pa|Confiance totale, dévotion
de gshegs snying po|Essence de Bouddha, Tathâgatagarbha
de bzhin nyid|Tel quel, talité, telléité, Tathâta
de bzhin nyid tin nge 'dzin|Recueillement de la talité, le premier samâdhi du bskyed rim
bde chen|Grande Félicité, Mahâsukha
bde stong|Félicité vacuité
bde ba|Plaisir, béatitude, félicité
sdig pa|Actes négatifs
'ja' lus|Corps d'arc en ciel
'ja' lus 'pho ba chen po|Corps d'arc en ciel du Grand Transfert
'ja' mtshon|Couleurs de l'arc en ciel
rjes med|Sans aucune trace
rjes gnang|Initiation secondaire qui autorise la pratique
rjen ne ba|Nu, dépouillé
rjen pa|Nu, nudité
rjes su rnal 'byor|Anuyoga
rjes thob|Après méditation, période post méditative qui suit la séance de pratique formelle
'jig rten|Monde  	litt.le support destructible
'jig rten drug po|Six mondes de l'existence samsârique
ji snyed pa mkhyen pa|Connaissance de toutes choses dans leur détail
ji lta ba mkhyen pa|Connaissance de la nature absolue de toutes choses
brjod du med pa|Inexprimable, informulable
'jog sgom|Méditation d'absorption
sbyor grol|Union et la libération
sbyor lam|Voie de la préparation  	2ème Voie
'jug pa|Entrée  	dans la pratique
'jug pa sems bskyed|Bodhicitta de mise en action
byung ba'i dwangs ma|Eclat quintessentiel élémentaire
mdo sde pa|Ecole des Sautrantikas
bzlog pa|Détourner, repousser, retourner
gdod ma'i mgon po|Protecteur primordial, le Bouddha primordial, Samantabhadra
gdod ma'i rnal 'byor|Atiyoga
gdod ma'i gnas lugs|Mode d'être originel, condition primordiale, l'état originel
gdod ma'i gnas lugs gtan srid|Forteresse de l'Etat Primordial, le Plein Eveil
gdod ma'i sa|Domaine primordial
gdod ma'i sa|Terre originelle
gdod ma'i sangs rgyas|Bouddha originel
gdod ma'i gzhi|Base originelle
gdod ma'i zad sa|Niveau de l'extinction primordiale
don gyi ngo sprod|Présentation du sens  	de la nature de l'esprit
don dam gyi bden pa|Vérité absolue, réalité ultime, paramârthasatya
don dam sems bskyed|Bodhicitta absolue
don brgyud|Transmission du sens
don khrid|Instruction essentielle, guide essentiel
'dod pa|"Désir, le vouloir; Affirmation, thèse, soutenir une thèse, accepter, admettre  "
rdo rje|Vajra, le diamant  	rdo rje pha lam
rdo rje'i gdan|Trône adamantin, Vajrâsana  	bodhgaya
rdo rje 'dzin pa|Détenteur Adamantin
rdo rje'i skyil mo krung|Posture adamantine jambes croisées, vajrâsana
rdo rje slob dpon|Maître adamantin, le maître tantrique, vajrâcarya
rdo rje lu gu rgyud|Chaînes adamantines
rdo rje'i nga rgyal|Orgueil adamantin, fierté adamantine
rdo rje pha lam|diamant
rdo rje zam pa|Pont Adamantin, Série du Longdé
rdo rje sems dpa'|Vajrasattva, L'Etre Adamantin
rdo rje gsum|Trois vajra
rdo rje'i srung ba'i gur|Tente de protection adamantine
rdo rje'i theg pa|Véhicule Adamantin, le vajrayâna ou Mantrayâna secret, le Tantrayâna
rdo rje'i lte ba|Sphère centrale du vajra, le ventre du vajra
rdo rje dbyings|Espace Adamantin, Vajradhâtu
rdo rje dbyings kyi dkyil 'khor|Vajradhâtu mandala
rdo rje pha lam|Diamant
rdo rje'i sku gsung thugs|Corps, Verbe et Esprit adamantins
'dod chags|Désir attachement
rdos bcas|Aspect matériel grossier
'du bral med pa|Au delà de toute réunion et séparation
dug lnga|Cinq poisons, les émotions négatives
sdug bsngal|Souffrance
du shes|Conceptions, les idées, les identifications, samjnâ
'du byed|Formations karmiques, les formations volitionnelles, les concrétions karmiques, samskâra
drag sngags|Mantras terribles
drag po|Terrible, féroce
brag ca Ita bu|Comme l'écho
drang srong|Sage, le Rishi
dgra bcom pa|Arhat  	litt.Qui a vaincu l'ennemi des passions
dran rdzogs|Complet dès qu'on y pense, mode de visualisation instantanée de l'Anuyoga
dran pa|Mémoire, le rappel, le souvenir, l'attention
dran pa|Retenir, se rappeler, être attentif
dran pa'i mel|Sentinelle de l'attention
dran bsam|Rappel, le souvenir
dran shes|Conscience attentive
'dres pa|Mêler, mélanger
'bras bu|Fruit, le résultat, fruition
bras bu rdzogs pa chen po|Dzogchen du Fruit
dri ma|Impuretés, les souillures
dri ma med pa|Pur, immaculé, sans souillures, vimala
dri ma med pa'i sa|Immaculée  	2ème Terre
sgrib pa|Obscurcissements
sgrib pa|Voiles, obscurcissements
dri za'i sgrong khyer|Cité des gandharva  	mangeurs d'odeurs, une ville aérienne
'gro drug|Six classes d'êtres
'gro 'ong med pa|Sans allees ni venues
sgro 'dogs|Spéculation superflue, l'exagération
'gro dul sprul pa'i sku|Corps d'Apparition qui disciplinent les êtres
sgro skur|Surestimation et la sous estimation
grol lam|Voie de la Libération  	Anuyoga
grol gzhi|Base de Libération
grol ba|Libération, liberté, libre
sgron ma drug|Six Lampes du Thod rgal
sgrub thabs|Méthode d'accomplissement, le sâdhana
sgrub pa bka' brgyad|Huit Déités, pirncipes d'accomplissement
sgrub pa'i sngags|Mantra d'accomplissement
grub bsal med pa|Ni accompli ni dissous, ni créé ni dissous
grub mtha'|Théorie philosophique, le système philosophique
'gro ba'i don mdzad|Oeuvrer au bien des êtres
dus kyi brda'|Symbole ou signe du temps  	longdé
bdud bzhi|Quatre diables, catvâri mâra
dus drug|Six séances de pratique quotidiennes en retraite
'dul bya|Etres à discipliner, les disciples
'dul byed|Ceux qui domptent les êtres, les maîtres, les instructeurs
rdul phran|Plus petite particule indivisible, l'atome
dus med|Intemporalité
mdun bskyed|Visualisation de la déité devant soi
dus gsum dus med|Trois temps et l'intemporalité, le temps de Samantabhadra
bdud rtsi|Ambroisie, amrita
bdud rtsi lnga|Cinq ambroisies, pañca amrita
'dzin grol|Libération de l'attachement, de la saisie
'dzin med|Sans attachement, sans croyances
rdzogs pa chen po|Grande Perfection
rdzogs rim|Phase ou l'étape de perfection, sampannakrama
rdzogs chen sde gsum|Trois séries d'enseignement de la Grande Perfection
rdzu 'phrul|Miracles, les pouvoirs miraculeux
dgag sgrub med pa|Sans négation ni affirmation
'gags med|Inobstrué, sans obstables, incessant
bgegs|Créateur d'obstacle, démon des empêchements, vighnan
gegs bsal|Pratiques pour dissiper les obstacles
go ma 'gags pa|Ouverture incessante
sgo gsum|Trois portes, corps, parole et esprit
gol sgribs|Déviations et obscurcissements
gol sa|Terrain des déviations, de l'égarement
gol ba|Déviation
sgom lam|Voie de la méditation  	4ème Voie
sgom med|Absence de méditation, non méditation
sgom nyams|Expériences méditatives
sgom pa|Méditation
dgongs brgyud|Lignée de transmission d'Esprit à Esprit
dgongs pa|Intention Spirituelle, Dessein, Pensée des Bouddhas, Esprit de Sagesse
dgongs gter|Trésor de l'Esprit
gos pa|Altéré, affecté, souillé
rgod pa|Agitation mentale, dispersion
sgo gsum sbyang ba|Entraînement des trois portes
rgyal ba|Vainqueur, l'un des noms attribués aux Bouddhas
rgyal ba dgongs brgyud|Transmission d'Esprit à Esprit des Vainqueurs
rgya ma chad|Ne pas se limiter
rgya chad phyogs lhung|Chuter dans les opinions extrêmes
rgya yan|Ouverture, l'aise, détente, écarter les mailles du filet
rgyan|Ornement, parure
rgyu|Cause
rgyu bdag nyid gcig pa'i ma rig pa|Ignorance que l'on est l'unique origine  	?  	de toutes choses
sgyu lus|Corps Illusoire
sgyu ma|Illusion magique, mâyâ
sgyu ma'i na chung|Apparition illusoire d'une jeune fllle
'gyu ba|Mouvement  	de l'esprit
rgyud|Tantra
rgyud lung man ngag gsum|Tantras, âgamas et upadeshas
rgyu'i ting nge 'dzin|Recueillement de la cause, le 3ème samâdhi du bskyed rim
rgyu'i rkyen|Circonstance causale  	lère, l'ignorance
rgyun mi 'chad|Ininterrompu, continuel
rgyun zhugs|Srotâpanna, ceux qui sont entrés dans le courant
brgyud pa|Lignée de transmission
brgyud pa'i bla ma|Maîtres de la lignée
ha re ba|Très vif
had de ba|Etat de stupeur, frappé de stupeur
hrig ge yer re rjen ne ba|Clair, pur
hrig ge ba|Très clair, limpide
ka dag|Pureté Primordiale, primordialement pur
ka nas dag pa|Pureté Primordiale, primordialement pur
ka dag spros bral|Pureté primordiale sans élaborations
bka' brgyad|Huit Déités d'Accomplissement
bka' ma|Enseignements canoniques de lignée orale longue
gang zag|Etres
gang zag|Personne, pudgala
gang zag gi bdag med|Absence de moi des individus, des personnes
gang du'ang ma grub pa|Qui n'existe sous aucune forme, d'aucune manière
gang zag snyan brgyud|Transmission Orale ou par l'écoute
dka' ba'i sa|Difficile à Conquérir  	5ème Terre
skad cig grol ba|Liberté instantanée
skad cig rang grol|Auto libération instantanée
skad cig cha med|Instant de conscience indivisible
khams gsum|Trois domaines d'existence
khams bco brgyad|Dix huit dhâtu, les éléments des sens
mkha' 'gro 'chi tshul lta bu|Comme meurent les dâkinîs. Se dit de l'une des sortes de corps de lumière
mkha' 'gro ma|Celle qui parcourt l'espace, dâkinî
kha yan|Ouverture, détente
'khor 'das|Samsâra et nirvâna
'khor 'das ru shan dbye ba|Pratique qui disjoint samsâra et nirvâna
'khor 'das chos rnams|Phénomènes du samsâra et du nirvâna
'khor lo|Roue, le cakra
khor lo drug|Six cakras
'khor ba|Cycle des existence, samsâra
'khor ba|Samsâra
'khor yug chen po|Vie dans sa globalité
'khyams pa|Errer
khyab gdal|Omniprésent, qui imprègne tout
khyab brdal|Omniprésent, qui imprègne tout
goms pa|Habitude, maîtrise par l'habitude
sku rdzogs|Forme complète de la déité
sku gsung thugs gsum|Corps, Verbe et Esprit
sku gdung|Reliques
sku gsum|Triple Corps, Trikâya
kriya lha drug|Six divinités du Kriyatantra
kun 'dar ma|Canal central  	l'un des noms du
kun rdzob gyi bden pa|Réalité conventionnelle, vérité d'enveloppement, vérité relative, samvrittisatya
kun rdzob sems bskyed|Bodhicitta relative
kun khyab|Omnipénétrant, qui embrasse tout, qui imprègne tout
kun gzhi|Base Universelle, Base de tout
kun gzhi rnam shes|Conscience base de tout, Alayavijnâna
kun brtags|Concepts, imaginations, convention.
kun brtags|Nature imaginaire des phénomènes, Parikalpita
kun brtags|Parikalpita, nature imaginaire des phénomènes
kun brtags ma rig pa|Ignorance imaginaire
kun rtog|Pensées discursives
kun tu snang ba'i ting nge 'dzin|Recueillement de luminosité, le 2ème samâdhi du bskyed rim
kun tu 'od kyi sa|Toute Lumineuse  	11ème Terre
kun tu bzang mo|Samantabhadrî, sa contre partie féminine
kun tu bzang po|Samantabhadra, le Bouddha Primordial
skyab 'gro|Prendre Refuge
skye 'gag med pa|Sans naissance ni cessation, sans création ni destruction
skye med|Non né, sans naissance
rkyen|Condition, cause secondaire, circonstance
bskyed pa|Créer, engendrer, développer
bskyed rim|Phase de création, le développement de la visualisation, Utpattikrama
skye mched drug|Six sphères psycho sensorielles
dkyil 'khor|Mandala, centre et circonférence
skyil mo krung|Posture assise jambes croisées
skyon|Défauts
skyo shas|Dégoût du monde, tristesse
la bzla ba|Franchir le col, dépasser les opinions réductrices
lam|Voie, le chemin
lam rdzogs pa chen po|Dzogchen de la Voie
bla ma'i rnal 'byor|Guruyoga
lam khyer|Prendre comme chemin, emporter sur la Voie
bla na med pa'i rgyud|Anuttarayogatantra
bla na med pa'i rnal 'byor gyi rgyud|Anuttarayogatantra
blang dor med pa|Sans adoption ni rejet
bslab gsum|Trois entraînements
las|Karma, l'action en tant que cause et effet
legs pa'i blo gros can sa|Perspicace  	9ème Terre
las kyi rlung|Souffles karmiques, le vent ou l'énergie du karma
le lo|Paresse
bslad pa|Altéré, corrompu, dégradé
lha|Déité
lha|Dieux
lhag mthong|Vision profonde, vipashyana
lha mi sems 'dzin|Fixation de l'esprit des dieux et des hommes
lhang nge ba|Limpide, clair et calme
lhan cig skyes pa'i ma rig pa|Ignorance simultanée, co émergente
lhan cig skyes pa'i ye ces|Sagesse simultanée, innée, co émergente
lhod de bzhag pa|Demeurer détendu
lhod de ba|Détendu, relaxé
lhod lhod|Très détendu, très relaxé
lhug lhug|Détendu, relâché
lhug pa|Détendre, se détendre avec présence
lhun grub gyi ting nge 'dzin|Recueillement de la Présence Spontanée
lhun grub kyi sgo brgyad|Huit portes de la Presence Spontanée
lhun grub kyi snang ba|Manifestations de la Présence Spontanée
lhun grub kyi 'char tshul brgyad|Huit modes d'émergence de la Présence Spontanée
lhun grub rig 'dzin|Vidyâdhara spontanément présent
lhun grub rin po che'i sbubs|Précieuse Sphère Hermétique spontanément accomplie
lhun grub thod rgal|Franchissement du Pic de Presence Spontanée
lhun rdzogs|Perfection Spontanée
lhun gyis grub pa|Présence Spontanée, spontanément accompli
lhun grub|Présence Spontanée, spontanément accompli
blo|Intellect, buddhi
blo las 'das pa|Au delà de l'intellect, qui transcende l'intellect
blo sna bstung ba|Abréger les projets, couper court aux projets de l'esprit
blos brtags|Analyses intellectuelles
glo bur|Accidentel, adventice
blo sbyong|Entraînemment de l'esprit
klong|Espace insondable, vortex, abîme
klong dgu|Neuf Espaces
klong sde|Série de l'Espace
klong du 'khyil ba|S'immerger dans l'Espace, plonger dans un tourbillon
klong chen|Immensité
longs spyod rdzogs pa'i sku|Corps de Jouissance ou Sambhogakâya
longs sku|Corps de Jouissance ou Sambhogakâya
glod pa|Se détendre
blos byas kyi sgom pa|Méditation fabriquée par l'intellect
lung|Enseignement abrégé sur les Tantras, âgama
lung|Transmission orale d'un texte, qui en autorise la pratique
rlung|Air, le vent
rlung|Souffle, vâyu, prâna
rlung gi gnad|Point clé du souffle
lung ma bstan|Etat neutre, indéterminé, morne, sans vie
lung bstan|Prophétie, prédiction
bslu ba|Tromperie, le séduction
blo yi ri mo|Imageries intellectuelles, les plans intellectuels
blo yis brtags 'khrul pa|Errements intellectuels
lus ngag yid gsum|Corps, parole et l'esprit, les trois portes
lus kyi gdos bcas|Aspect matériel grossier du corps
ma rgyud|Tantras mère
ma bslad pa|Inaltéré, non corrompu
ma nges pa|Incertain, indéterminé
ma yengs|Non distrait
ma 'dres pa|Sans mélange, non confondu, non mêlé
ma 'gag pa|Incessant, imblocable
ma skyes|Non né, incréé
man dal gyi 'bul ba|Offrande du mandala
ma nor ba|Sans erreurs, correct
ma rig pa|Ignorance, nescience
ma byas|Incréé, non fabriqué
ma bcos|Sans artifices, sans fabrications, naturel
me lta bu|Comme le feu, l'une des sortes de corps de lumière
me long Ita bu ye ces|Sagesse Semblable au Miroir
man ngag|Préceptes, les instructions secrètes, upadesha
man ngag sde|Série des Préceptes, rdzogs chen Upadesha
med bzhin snang ba|Apparent bien qu'inexistant
mi 'dod pa|Indésirable
mi 'dod pa'i yul|Objet d'aversion
smig rgyu|Mirage, l'illusion d'optique
mig yor|Trouble visuel, le dédoublement optique
mi khas pa|Sot, ignorant
dmigs pa|Imagination, conception imaginaire, visualisation
dmigs pa'i rkyen|Circonstance objectivante
dmigs pa'i yul|Objet imaginaire, l'objet à visualiser
dmigs gtad|But imaginaire, l'intention, le dessein
dmigs gtad med pa|Sans intention, sans but préconshu
dmigs gtad byed pa|Revêtir d' une intention, prêter une intention, faire des projets
mig 'phrul|Illusion visuelle, l'hallucination
rmi lam|Rêve
rmi lam bar do|Etat intermédiaire où ont lieu les rêves
mi slob lam|Voie où l'on n'apprend plus  	5ème Voie,
mi dmigs pa|Inimaginable, inconcevable
ming don bdag tu rtog pa|Concevoir
mi 'gyur|Immuable
mi rtag pa|Impermanence, impermanent
mi rtog pa|Non discursivité
mi g.yo ba|Inébranlable, l'immobilité
mi g.yo ba'i sa|Inébranlable  	8ème Terre
mi g.yo ba'i ting nge 'dzin|Recueillement de l'immobilité
mos gus|Respect et dévotion
smon lam|Prière d'aspiration
smon pa sems bskyed|Bodhicitta d'aspiration
mos pa|Détermination
mu bzhi|Quatre extrêmes
rnam dag|Absolument pur
mnyam rjes|Méditation et post méditation
nam mkha' ar la gtad pa|Fixer le regard dans l'espace
nam mkha' lta bu|Comme le ciel, l'une des sortes de corps de lumière
rnam smin rnam shes|Conscience pleinement mûrie
rnam smin rig 'dzin|Vidyâdhara parfaitement mûri
rnam snang chos bdun|Septuple posture de Vairocana
rnam pa thams cad mkhyen pa'i sangs rgyas|Bouddhéité qui connaît toutes les formes
rnam par mi rtog pa'i ye shes|Sagesse sans discursivité aucune
rnam par shes pa|Conscience ordinaire, conscience connaissance, vijnâna
rnam shes tshogs drug|Six consciences des sens
rnam shes tshogs drug|Six consciences des sens
rnam rtog|Pensées discursives
nang 'dzin sems|Conscience intérieure qui saisit l'objet
nang gi rgyud|Tantras internes
snang rkyen rang grol|Libération naturelle des circonstances des apparences
nang gsal|Clarté intérieure
snang sems|Esprit qui pershoit les apparences
snang sems|Perceptions et 1'esprit qui pershoit
snang srid|Existence apparente, le monde des apparences, le monde phénoménal
snang mkhan|Celui qui pershoit
nang ltar ru shan dbye ba|Roushen ou disjonction interne
snang stong bden pa dbyer med|Indivisibilité des apparences et de la vacuité
snang tshul|Mode de manifestation, manière d'apparaître
snang ba|"Apparence, apparaître; Luminosité; Perception, percevoir;Vision    "
snang ba bzhi|Quatre Visions du Thod rgal
snang ba bzhi tshad la phebs|Atteinte de la pleine mesure des Quatre Visions du Thod rgal
snang ba'i ye shes|Sagesse de l'Apparence
snang ba'i yul|Objets apparents, perceptibles, les manifestations objectives
sna tshogs|Variété, le multiple, diversité
sna tshogs ma nges sprul pa'i sku|Corps d'Apparition variés et indéfinis
sna tshogs su snang ba|Manifestation en tant que multiplicité, les apparences variées
gnad|Point clé, le point crucial
gnad thog tu phebs|Aller directement au point clé
rnal 'byor|Yoga, s'unir à l'aise naturelle
rnal 'byor gyi rgyud kyi theg pa|Yogatantra  	Véhicule du
rnal du dbab|S'établir dans l'aise naturelle
rnal ma|Condition naturelle, l'aise naturelle
gnas lugs|Mode d'être, condition naturelle
gnas pa|Etre, demeurer, s'établir, résider
gnas pa|Immobilité, stabilité, le calme
gnas pa med|Sans localisation, sans demeure
gnas pa'i sems|Esprit établi dans la quiétude
gnas pa'i ting nge 'dzin|Recueillement de l'état calme
nga rgyal|Orgueil
sngags|Formule, le mantra
sngags bzlas pa|Récitation d'un mantra
ngag gi gnad|Point clé de la parole  	en thod rgal
ngag cha lta bu|Comme un écho
ngang|Etat, condition
ngang dwangs|Etat limpide, clair
nges 'byung|Renonciation
ngan song|Mauvaises destinées, les renaissances inférieures
nges pa|Certitude, vérité, vrai, certain, établi
nges pa lnga|Cinq Certitudes  	maître, enseignement, lieu, temps et disciples parfaits
dngos grub|Accomplissements de la pratique,  siddhi
ngo shes pa|Reconnaissance, reconnaître son essence
ngos bzung|Identifier, étiqueter, reconnaître
mngon du gyur pa'i sa|Qui Devient Manifeste  	6ème Terre
sngon 'gro|Pratiques préliminaires
mngon par byang chub|Eveil Manifeste d'un Bouddha, Abhisambodhi
mngon shes|Pouvoirs supranormaux
mngon byang lnga|Cinq qualités d'Eveil Manifeste  	yogatantra
dngos po|Substance, l'objet matériel, l'entité
dngos po med pa|Sans substance, immatériel
dngos gzhi|Pratique principale, le sujet principal, le corps principal de la pratique
ngo sprod|Présentation de la Nature de l'esprit
ngo sprad pa|Présentation de la Nature de l'esprit
bsngo ba|Dédicace des bienfaits
ngo bo|Essence, réalité, le vrai visage, bhava
ngo bo nyid sku|Corps Essentiel, le Svabhâvikakâya
nor sa'i lam|Voie erronée
snod bcud|Univers et êtres qui l' habitent
snod bcud|Vase et son contenu, L' univers et les êtres qui l' habitent
nub pa|Coucher, le crépuscule, disparition
nus pa|Capacité
mya ngan 'das pa|Au delà de la souffrance, le nirvâna
nyams myong|Expérience méditative
mnyam rjes bsre ba|Mêler méditation et vie quotidienne
mnyam rdzogs|Perfection d'égalité, l'état où tout est parfait dans l'égalité
mnyam rdzogs che ba|Grande Perfection d'égalité
nyams snang gong 'phel gyi snang ba|Vision de l'Accroissement des Expériences  	2ème vision du thod rgal
mnyam nyid ting nge 'dzin|Recueillement de l'égalité  	3ème recueillement du Semdé
mnyam nyid ye shes|Sagesse de l'Egalité
mnyam pa'i ngang|Etat d'égalité
mnyam par bzhag pa|Accéder à l'égalité, reposer à l'équilibre, méditation d'égalité
mnyam bzhag|Accéder à l'égalité, reposer à l'équilibre, méditation d'égalité
myang 'das|Nirvâna, au delà de la souffrance
nye brgyud gter ma|Transmission abrégée des Termas
snyan brgyud|Lignée de l'écoute  	de bouche à oreille
bsnyen pa'i sngags|Mantra d'approche
gnyen po|Antidote
nyan thos kyi theg pa|Véhicule des Auditeurs, Shravakayâna
nyan thos pa|Auditeurs, shravaka
nye bar thob pa'i ye shes|Sagesse de proche obtention  	bardo
snyigs ma'i dus|Temps dégénérés, lie des temps
gnyis ka'i rgyud|Tantra double, Câryatantra
gnyis med rgyud|Tantras non duels
snying rje|Compassion
snying po|Cour, l'essence
snying thig|Sphère Essentielle, Goutte Essentielle
nyin mtshan gnyis med|Indistinction du jour et de la nuit
gnyis su 'dzin pa|Attachement à la dualité, croyance dualiste
gnyis su med pa|Sans dualité, sans distinction, non duel
gnyis med|Sans dualité, sans distinction, non duel
gnyis su snang ba|Perception dualiste, l'apparence dualiste  	du sujet objet
nyon mongs|Passions, les affects négatifs ou klesha
nyon mongs kyi sgrib pa|Voiles émotionnels
nyon mongs yid rnam shes|Manokleshavijnâna, conscience mentale sous l'emprise des passions  	la 7ème conscience
gnyug ma|Naturel, authentique
gnyug ma'i ngang|Etat naturel, l'état vrai
'od byed sa|Lumineuse  	3ème Terre
'od 'phro can sa|Radieuse  	4ème Terre
'od gsal|Luminosité, claire lumière
'od gsal stug po bkod pa'i klong|Abîme du Dense Arrangement de la Luminosité
wa le wu le|Très distinctement
dbu ma thal 'gyur|Mâdhyamika prasanghika
dbu ma pa|Ecole Mâdhyamaka
rang rgyud dbu ma pa|Mâdhyamika
u rgyan|Oddiyâna
o rgyan|Oddiyâna
phung po lnga|Cinq agrégats du moi
pha rgyud|Tantras père
'phags pa|Sublime, noble, éminent, ârya
spang gnyen|Techniques de renonciation, les antidotes
spang blang med pa|Sans rien rejeter ni accepter, sans abandon ni adoption
pha rol tu phyin pa|Vertu Transcendante, pâramitâ
dpe'i ngo sprod|Présentation métaphorique de la nature de l'esprit
'phel 'grib|Croissance et décroissance, fluctuation
'pho 'gyur med pa|Immobile et immuable, sans mouvement ni transformation
bogs 'byin|Progrès
bogs dbyung|Progresser
'pho ba|Mouvement, transfert, transfert de conscience
'pho ba|Transfert de conscience
'pho ba chen po|Grand Transfert
rab 'byams|Infini
rab tu dga' ba'i sa|Très Joyeuse  	1ère Terre
rab tu dga' ba'i sa|Joie Suprême  	lère Terre
rab tu spros med kyi dbang|Transmission de pouvoir totalement dénuée d'élaborations
rang gi rig pa|Mon propre Rigpa
rang rgyal gyi theg pa|Pratyekabuddhayâna, le Vehicule des Bouddhas pour eux mêmes
rang rgyud|Esprit ordinaire, le continuum mental, svatantra
rang rgyud dbu ma pa|Mâdhyamika svatantrika
rang snang|Mes propres perceptions
rang gnas|Etabli spontanément, établi en lui même, en son propre lieu
rang ngo shes pa|Reconnaître sa propre essence, reconnaître l'essence vraie de l'esprit
rang babs|Cours naturel de l'esprit
rang babs shes pa|Conscience qui s'écoule d'elle même
rang rig|Rigpa spontané, mon propre Rigpa, mon propre esprit, conscience en soi
rang chas|De soi même, naturellement
rang dag chen po|Grande pureté spontanée
rang grol|Liberté naturelle, liberté spontanée, l'auto libération
rang ngo|Essence en soi, le visage naturel
rang sar grol|Libéré naturellement, libéré sur place, libéré dans son propre domaine
rang gsal|Spontanément lumineux, lumineux en soi, ma propre luminosité
rang car|Emergence spontanée, lever naturel
rang gzhan don gnyis|Double but, pour soi même et pour autrui
rang bzhin|Nature spontanée  	svabhava, l'Expression Naturelle, l'Existence spontanée. Sens ordinaire la nature propre
rang bzhin gyi bar do|Etat intermédiaire ou bardo naturel, entre la conception et la mort
rang bzhin med pa|Sans nature propre
rang bzhin sprul pa'i sku|Corps d'Apparition Naturels
rang byung rig pa|Rigpa né de lui même, spontané
rang byung ye shes|Sagesse Née d'elle même
re dogs med pa|Sans espoir ni crainte
reg pa|Contact
ris bral|Sans partialité
rig 'dzin|Détenteur de Rigpa
rig 'dzin|Vidyâdhara
rig 'dzin brda' brgyud|Transmission symbolique ou par signes des Vidyâdharas
rig 'dzin lta bu|Comme un vidyâdhara, l'une des sortes de corps de lumière
rig pa|Etat primordialement pur et spontanément présent, éveillé et discernant
rig pa rjen gcer 'bud|Extraire Rigpa dans l'évidence de sa nudité
rig pa rang shar|Lever naturel de Rigpa
rig pa tshad phebs kyi snang ba|Vision de la Pleine Mesure de Rigpa, du Paroxysme de Rigpa  	3ème vision
rig pa dbyings chen mo|Grand Espace de Rigpa
rig pa'i rtsal|Energie créatrice, le dynamisme de Rigpa
rig pa'i rtsal dbang|Transmission de pouvoir de l'énergie de Rigpa
rig pa'i ye shes|Sagesse de Rigpa
rig stong|Eveil vacuité, rigpa vacuité
rigs lnga|Cinq Familles de Bouddhas
rigs gsum|Trois Familles de Bouddhas
rig tsam|En un éclair de conscience
ris med|Non sectaire
ring brgyud bka' ma|Lignée de transmission longue canonique
ring du song ba'i sa|Eloignement  	7ème Terre
ring bsrel|Reliques en forme de perles colorées
rin po che'i sbubs|Précieuse Sphère Hermétique
rin po che'i ga'u|Précieux Reliquaire
rin po che'i ga'u'i dgongs pa|Intention du Précieux Reliquaire
ri khrod|Retraite de montagne
rol pa|Déploiement, le jeu, le déploiement ludique, lîlâ
rol pa'i rtsal|Energie créatrice en déploiement
ro gcig|D'une seule saveur, le goût unique
ro gcig|Goût unique
sa lam|Terres et Voies
sa bcu|Dix Terres
sa gter|Trésor
bsags pa'i las|Karma accumulé
sa le ba|Très clair, pure clarté
bsam las 'das pa|Inconcevable, impensable
bsam yul|Sphère conceptuelle, le domaine de la pensée
bsam yul las 'das pa|Inconcevable, impensable
bsam gyis mi khyab|Inconcevable, impénétrable par la pensée
bsam gtan|Concentration, l'absorption méditative, dhyâna
bsam gtan bar do|Etat intermédiaire de l'absorption méditative
gsang gnas|Lieu secret, sexe
gsang gnas|Sexe
gsang sngags|Mantrayâna secret
sang nge ba|Clair, vif, pur
sang sing|Evanescent
gsang ba bla na med pa'i skor|Cycle secret insurpassable
gsang ba bla na med pa'i man ngag gi sde|Série des Préceptes Secrets Insurpassables
sangs rgyas|Bouddha, l'état de Bouddha
sangs rgyas kyi yon tan|Qualités de la Bouddhéité
sras bde ba chen po|Fils de Grande Félicité, Bodhicitta dans l'Anuyoga
