bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
phyag rgya'i ye shes|sagesse originelle des sceaux (voir contexte)
phyag ring|"(smad cha 714) ""embrace"" (thugs rje'i.) étreinte ?????"
phyam gcig tu|"dans l'unité (phyam a une connotation de ""totalité), Aussi: simultanément, dans l'égalité,"
phyi mtshan nyid sde snod|canon extérieur des caractéristiques
phyir mi 'ong|non-retour
phyir 'ong|retour unique
phyogs|veut dire aussi 1/2 mois, quinzaine
phyogs mthun|apparenté, du même ordre; concordant
phyogs mthun gyi rgyud|tantra de la même classe
rab 'byams|infinité, immensité
rab byung|renonçant, moine (sans les voux)
rab gnas|consécration (d'un objet, lieu)
rab tu dga' ba'i sa|terre joyeuse (pramudita bhumi)
rab tu rgyu ba|mouvant extrême
rab tu tsha ba|pratapana (chaleur extrême)
ral gri|épée (un des huit siddhis)
ral gri'i lo ma|[forêt aux] feuilles-épées (asipattravana)
rang babs|cours naturel
rang byin rlabs|auto-consécration
rang byung|né de soi-même
rang byung rig pa nyid|connaissance née d'elle-même
rang byung ye shes|sagesse originelle/primordiale née d'elle-même
rang bzhin|"nature; conceptions, conceptions naturelles, prakrit: substance universelle, primordiale. Nature propre, être en soi, conceptions naturelles"
rang bzhin gnas rigs|famille/lignée spirituelle naturellement présente
rang bzhin lhun grub|caractère spontané
rang bzhin 'od gsal|claire lumière naturelle
rang chos|de soi-même, naturel
rang grub|de soi-même, naturel
rang byung|de soi-même, naturel
rang ga ba|ordinaire
rang grol|libération naturelle, auto-libération
rang mal gnas|demeurant en son lieu naturel
rang mdangs|éclat naturel
rang mtshan|phénomène caractérisé
rang ngo|nature propre
rang rig|conscience/connaissance réflexive
rang rig mngon sum|perception directe réflexive
rang sa|en son lieu propre
rang shar|surgissement/apparition de (par?) soi-même
rang snang|auto-manifestation, manifestation naturelle
rang stong|vide de soi
rang yal la 'gro ba|se dissiper/s'effacer de soi-même
rang yan|ouverture naturelle
rang zhal|vrai visage
chos nyid gnyug sems|vrai visage
rang zin|rêve lucide ?
rdo rje 'chang gi dbugs dbyung|assurance d'un Vajradhara (corps de vérité)
rdo rje 'dzin|15. Détenteur du vajra
rdo rje theg pa|véhicule adamantin
rdo rje'i rigs|famille du diamant
rdul|mobilité (rajas) aussi:ovule
rdul mtha' can|inspirer à fond (yoga)
rdzas grub|établissement substantiel
rdzas yod|existence substancielle
rdzogs ldan|âge de perfection
rdzogs pa sbyor chibs|10. Chevauchée universelle de perfection
rdzogs pa'i las|action complétante
rdzogs rim|phase de perfection/d'achèvement. Stade d'accomplissement,
rdzu 'phrul|pouvoirs de manifestation
rdzus skye|"naissance apparitionnelle (terme trouvé avec skyes au lieu de skye - Le sens trouvé est plutôt miraculeux, extraordinaire ou déguisé que ""apparitionnel"" .) "
rengs pa can|immobiliser (yoga)
res 'jog sbyod pa|conduite d'alternance
rgya skyegs|garance -
rgyal|vainqueur, pour le souffle serpent
rgyal ba|victoire, pour le souffle tortue
rgyal rigs|caste royale
rgyas 'gyur gyi rigs|famille développée
rgyas pa'i las|activité (rite) d'expansion, développement
rgyu ba|mouvant
rgyu bdag nyid gcig pa'i ma rig pa|ignorance que la cause est une entité identique
rgyu la 'bras ba'i phyag rgya|sceau du résultat sur la cause
rgyu rgyud de'i steng na yod pa|existe [en tant que] participant du continuum causal
rgyu skar|constellation
rgyud gsum|trois continuums
rgyud rang gzhung|textes tantriques
rgyu'i theg pa|véhicule causal
rgyun|continuité, continuum, cours
rgyun zhugs 'bras gnas|résidant dans le fruit de l'entrée dans le courant
rgyun zhugs zhugs pa|progressant vers l'entrée dans le courant
rig dbang|initiation de connaissance
rig 'dzin sde snod|canon des détenteurs de la connaissance
rig 'dzin theg pa|véhicule des détenteurs de la connaissance
rig ma|femme de sagesse
rig pa|connaissance, présence éveillée, pure présence (aussi conscience: rig pa rgyun chad pa --> sens non trouvé)
rig pa ye shes|sagesse originelle/primordiale de présence éveillée
rig pa'i sna khrid|guidance de la connaissance
rig sngags|mantra de connaissance
rig stong|présence vide
rigs|logique (nyaya) (adjectif)
rigs 'byed rnal 'byor|yoga qui révèle la famille spirituelle - Terres 3 à 5
rigs byed rnal 'byor|yoga qui révèle la famille spirituelle - Terres 3 à 6
rigs chen 'byed pa|révélation de la grande famille (un des cinq yogas)
rigs 'dra|catégorie/type homogène
rigs drug|six familles (des tantras de l'action)
rigs kyi don|signification des familles
rigs lnga|cinq familles (lignées spirituelles)
rigs shes|connaissance rationnelle
ril bu|pilule (un des huit siddhis)
ril bu|pilules
ral gri|épée
ril 'dzin|"appréhender comme un tout/dans sa totalité. Pleine appréhension. (bsam gtan ""instantaneous collapse"")"
ril por 'dzin pa|"appréhender comme un tout/dans sa totalité. Pleine appréhension. (bsam gtan ""instantaneous collapse"")"
rim gyis|graduel, progressif
rim pa|stade, étape, succession/successif
rim par|progressivement
rim par phye ba|chapitre, classification
rin po che'i rigs|famille du joyau
ring du song ba'i sa|"terre ""allée loin"" (dura?gama bhumi)"
ring srol|tradition ancienne
ris med|impartial, sans partie (complet)
rjes chags|passion
rjes dpag|inférence (anumana)
rjes dran|rappel (un des six yogas)
rjes gnang|permission, autorisation
rjes gzhig|dissipation/destruction consécutive/subséquente (bsam gtan) (gradual dissolution)
rjes mthun|concordance, approximation
rjes mthun pa'i yul|site apparenté (aux sites majeurs)
rjes thob|obtention/atteinte subséquente, après/post session de méditation
rje'u rigs|caste des marchands/marchande   (vaisya)
rkang|phase (des planètes)
rkang mgyogs|marche rapide (un des 8 siddhis)
rlung bum pa can|respiration du vase
rlung lnga|cinq souffles
rlung sems (rlang dans le manuscrit)|souffle-esprit (quand ils sont vus comme inséparables)
rmongs pa|confusion
rmugs pa|inertie
rnal 'byor|1)yoga, union. Dans atiyoga: relation à l'authentique/s'unir au vrai; 2) yoga initial (1er yoga de la phase de génération)
rnal 'byor bla ma|yoga supérieur (tantras dans la division sextuple)
rnal 'byor mngon sum|perception directe yogique/contemplative
rnal kun mchog ldan|doté du plus sublime des aspects/de l'aspect suprême entre tous (stong nyid ou phrag chen)
rnam grangs|énumération, classification, catégorie, synonyme
rnam grangs gyi gzhi|base partielle (?) (dans les quinze gzhi du continuum causal)
rnam grangs pa'i don dam|ultime nominal/formulable paryayaparamartha
rnam grol ye shes gzigs pa|(de la) vision de sagesse originelle de libération
rnam pa thams cad pa|totalité des aspects
rnam par bcad pa|signe d'aspiration  A propos de E dans Evam (buddhist Tantra) ?? Vu avec Georges
rnam par rgyu ba|mouvant intense
rnam 'phrul|développement/déploiement prodigieux
rnam rig|cognition
rnam shes|conscience (3ème des douze facteurs de la relation interdépendante)
rnam smin|de la maturation
ro myags 'dam|marécage des corps putides
rol pa|déploiement, jeu
rol rtse|jeu
rtag|permanence, éternel, constance
rtag mtha'|extrême de permanence
rten|"support, contenant; veut dire aussi: corps"
rten 'brel|relations dépendantes
rten 'brel lnga|cinq relations dépendantes
rtog dpyod ye shes|sagesse originelle d'investigation
rtog pa'i rgyud|tantra de l'habileté  (kalpatantra ?)
rtogs pa'i chos|enseignement de réalisation
rtsa|canal [subtil]
rtsa rgyud|tantra racine (dans la division sextuple)
rtsa'i spyod pa|fonctionnement des canaux
rtsa kun spyod|fonctionnement des canaux
rtsal|force expressive, énergie, vitalité, créativité, dynamisme, jeu
rtsal chen rdzogs pa|yoga de l'achèvement de la grande force expressive - Terre 8 à 10
rtsangs pa rlung (rtsa ngas pa dans le manuscrit)|souffle lézard (secondaire) (sanskrit illisible)
rtse gcig pa sems pa|unification/focalisation de l'esprit
rtse gcig pa'i gnas cha|aspect d'unification
rtsod ldan|âge des conflits
rus sbal gyi rlung|souffle tortue (kurma) (secondaire/rameau)
sa|terre, plan stade
sa 'og|vision souterraine/pilules
sangs rgyas theg pa|véhicule des éveillés (mahayana)
sbas don sgyu lus|corps illusoire de sens caché
sbas pa'i rtsa lnga|cinq canaux cachés
sbogs chog sbyor ba|pratique d'amplification (sens non trouvé pour la première forme ???)
bogs 'don|pratique d'amplification (sens non trouvé pour la première forme ???)
sbyang bya|objet de la purification, à purifier
sbyang byed|agent de la purification, purificateur
sbyang dka' ba'i sa|terre difficile à conquérir (sudurjaya bhumi)
sbyang gzhi|base de purification
sbyin pa|générosité
sbyin sreg|offrande brûlée, calcinée
sbyor ba'i don gyi kun gzhi|base de tout en tant que véritable jonction (smad chad 687)
sbyor byung gi rgyu|cause issue de la pratique
sbyor dag|union immaculée
sbyor lam|sentier de préparation
sbyor sgrol|litt. union et libération (doctrines d'union sexuelles et de meurtres rituels)
sbyur lam|sentier des terres 3,4 et 5 (à valider)
sde snod|canon, collection
sdom|.des voux
sdud pa'i shes rab|.de rassemblement ( de synthèse?)
sems byung|facteur mental, mental
sems gnas lugs|nature fondamentale/mode d'être de l'esprit
sems kyi rang bzhin gyi tshul|condition naturelle de l'esprit
sems kyi rang rtsal|créativité de l'esprit / expression dynamique
sems kyi rang so bzung ba|maintenir l'esprit dans son état véritable (smad chad 368)
sems kyi sna khrid|guidance de l'esprit
sems la lus kyi phyag rgya|sceau du corps sur l'esprit
sems pa|volition, intention (cetana)
sems pa'i las|action volitionnelle
sems sde|division/classe de l'esprit
sgom lam|sentier de la terre 7
sgom pa las byung ba'i shes rab|sagesse née de la méditation
sgra don|sens du terme, littéral (associé a nges tshig=même sens)
sgrib pa|voile, empêchement, occultation, obscurcissement
sgro 'dogs|surimposition; fabrications conceptuelles
sgron me'i bskal pa|âge de lumière
sgrub|...d'accomplissement
sgrub pa|accomplissement (une des quatre pratiques des tantras de l'action);  pratique
sgyu ma|illusion, magie
sgyu 'phrul|illusion, manifestation prodigieuse
sgyu rtsal|adresse, dextérité
shal ma li'i nags|forêt aux épines de fer (ayahsalmalivana)
shangs pa bka' brgyud gdams pa bco lnga|Quinze instructions des Shangpas (smad chad 404)
shes rab|(de la) faculté de discernement
shes rab lnga|cinq sagesses discriminantes
shes rab|sagesse discriminante/discernement (une des six - ou dix - perfections)
shes rab nges 'bigs|discernement de pénétration contraire
shes rab ye shes dbang|initiation de sagesse originelle par le discernement
shin sbyangs|maniabilité
skad cig|instant, instantané; moment, momentané; séquence (dans mthong lam)
skad cig ma|instant, instantané, moment
sku|(du) corps
sku gsum sna khrid|guidance des trois corps
sku mngon gyur|6. Corps d'éveil manifeste = en vue de la réalité
skye ba|naissance (11ème des douze facteurs de la relation interdépendante), production
skye ba'i sprul sku|corps d'émanation de naissance
skye dgu'i bdag po|Prajapati
skye mched|sphère psycho-sensorielle, domaines sensoriels,bases de connaissances, sources de perception (six) (5ème des douze facteurs de la relation interdépendante)
skye mched mu bzhi|sphère des quatre extrémités (=absorptions du sans-forme)
skyel ma|transfert, accompagnement
skyes thob kyi rgyu|causes acquises à la naissance
slob dpon|précepteur (pour l'ordination)
smig rgyu|mirage
smon pa|aspiration
smon pa med|absence d'aspiration
snang ba|apparence, apparence lumineuse (smad cha 516). aloka
snang ba lhug pa|10. Sérénité = nuage de réalité
snga 'gyur rnying ma|Nyingma de la tradition ancienne
sngags kyi sde snod|canon du mantra
sngags kyi theg pa|véhicule du mantra
sngo bsangs|teint, complexion cuivrée (Note: pale blue,pure blue, green dans RY)
sngon gnas rjes dran|la mémoire des vies passées
sngon shes lnga|cinq connaissances supérieures
snod|réceptacle/récipient/récepteur
snyan brgyud|transmission orale, lignée murmurée, de l'écoute
snyigs ma|résidu, impureté, reste
snyigs ma lnga|(cinq) dégénérescences
snying po|essence, noyau  (pas matrice)
snying rje med pa las kyi rlung|de l'action sans compassion
snying stobs|légèreté (sattva ???)
snying thig|goutte essentielle
snyoms 'jug|égalité méditative; absorption du sans-forme; union sexuelle
so so skye bo|être/personne ordinaire
so so yang dag rig pa bzhi|connaissances analytiques correctes (quatre)
so sor brtags pa|analyse individuelle, distinctive
so sor brtags pas 'gog pa|cessation analytique (pratisamkhya-nirodha)
so sor ma brtags pas 'gog pa|cessation non analytique
so sor rtog pa'i ye shes|.de discernement
so sor sdud / sor sdud|retrait individuel (un des six yogas)
so sor thar pa'i sdom pa|voux de libération individuelle/personnelle
so tham tham pa|claquements de dents (atata)
sor gzhag|placement naturel
spros bcas|avec fabrications/proliférations...
spros bral|sans fabrications/proliférations...
spros med|sans fabrications/proliférations...
spros pa|fabrications/proliférations conceptuelles/discursives, Elaborations conceptuelles, discursivité
spros pa gcod pa|trancher les doutes (sakya)
spros shin tu med|tout à fait sans/sans aucune/absence totale de...
sprul sku|corps d'émanation
spu gri'i lam|chemin de rasoirs (kshuramarga)
spyi gzhi|fondement/base commune
spyod pa|conduite
spyod yul|sphère/domaine d'activité, champ d'expérience (bar cha 741)
srang du|directement (sens non trouvé)
sred pa|soif (8ème des douze facteurs de la relation interdépendante)
srid rtse|apogée/pic de l'existence
srog 'dzin rlung|soutenant la vie /srog vital/de vie (prana)
srog rtsol|contrôle / maîtrise de l'énergie vitale / du souffle (vitalité et effort) (3ème des six yogas). C'est aussi le mouvement du souffle (bar cha 609)
srub par byed pa rlung|souffle brasseur (non trouvé)
srung ba med pa rnam pa gsum|trois facteurs/aspects qui ne requièrent pas de protection (chez un bouddha)
sta gon|préparatifs (pour l'initiation)
steng sgo|porte du haut
stobs bcu|dix forces
stong nyid|vacuité (l'une des trois portes de la délivrance)
stong pa'i chos nyid rnam dag|pure vraie nature vide des phénomènes ou des phénomènes vides
stong ra|intérieur creux
sum skor|la triple circonférence
tha dad pa'i 'du shes mi mnga' ba|pas de notion de distinction
tha mal shes pa|conscience ordinaire
tha snyad|convention
thabs|méthode, moyen, moyens habiles (une des dix perfections)
thabs kyi theg pa|véhicule de la méthode
thabs lam|voie de la méthode
thag gcig thog tu tshad|décision directe et unique
thal 'byin rnam bzhi|quatre percements/transpercements
thams cad gzugs pa rnams|ceux qui voient tout (bouddha)
thems yig|mémorial
thig le|goutte, essence vitale
thig le chen|grand espace / sphère
thig le gsang skor|cycles secrets de la goutte
thig nag|lignes noires (kalasutra)
tho yig|index
thod rgal|franchissement du pic, bondir par-dessus, bonds successifs, non linéaire (opposé de rim pa)  (smad cha 526,579)
thog babs chen po|grande immédiateté
thog ma med pa nas|"de toute éternité; depuis toujours, depuis un temps sans commencement,"
thogs bcas|matériel
thogs med|immatériel
thon chos|bienfait entier (smad cha 396)
thos pa las byung ba'i shes rab|sagesse née de l'écoute/l'étude
thugs|(de la) pensée
thun mong ba'i bshad rgyud|tantra exégétique commun/partagé
thun mong ma yin bshad rgyud|tantra exégétique non commun/non partagé
thur sel rlung|souffle expulseur, évacuant par le bas (apana)
ting nge 'dzin chen po|14. Vision durable= grande absorption
ting nge 'dzin sems pa|divinité d'absorption
tsha ba|chaleur tapana
tsha dmyal|enfers chauds
tshad ma|connaissance valide, autorité
