Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
khrid yig ,,,Manuel d’instruction,"instruction pratique mise par écrit, guide pratique, guide d’instructions, manuel, texte explicatoire",manuel qui donne des explications des pratiques méditatives,57
khregs chod ,,,"Suspension de la solidité 
","“briser la solidité”, éradication de la solidité, rigidité, couper le solide, couper à l'essence, voir, couper à travers la solidité, dureté, le concret, la résistance, rigidité, l'obstination mentale, relâcher ou couper toutes ses tensions et rigidités, trancher au travers de la solidité, pourfendre la matérialité ","(RY) Trekchö, :
Cutting Through, the Thorough Cut; 'Cutting through' the stream of delusion, the thoughts of the three times, by revealing naked awareness devoid of dualistic fixation. To recognize this view through the oral instructions of one's master and to sustain it uninterruptedly throughout all aspects of life is the very essence of Dzogchen practice. Together with {thod rgal} the two main parts of {rdzogs chen}. See also {ka dag khregs chod}. Alt. trans. of {khregs chod}: cutting the stiffness / solidity / hardness, cutting through rigidity, cutting resistance; the slash that completely severs 

abr ka dag khregs mchod 
terme pour indiquer la vision pénétrante selon les Nyingmapa (TDC): une des deux pratiques essentielles de la grande perfection (dzogchen) par laquelle est révélée, au sein même des pensées confuses, la sagesse spontanée, la pureté primordiale (GCLAvr93)

→ GY II p 54, déf NA p 295, DT p 174, p 185, FG p 154 n 54, DY p 70 n 20, LYN p 318, BM p 67-73, NSTB I p 334, B p 66 a III

NB : Nous avons traduit chod « suspendre » plutôt que couper et ses variations car chod a le sens d’être coupé, d’être tranché. La solidité ou dureté de la saisie ayant été tranchée est suspendu.",58
"khros pa 
= khro bo ","krodha, krodhī (f), dveṣātma(ka) roṣaṇa",,"Courroux, courroucé","(êtres) courroucés, colériques, furieux, rage, enragé, transporté, écumer de rage, fureur",,59
"mkha' 'gro 
= mkha' 'gro ma 
","ḍākinī, ḍāka",,"Dâkinî
","dame céleste, celles qui vont de par l'espace, celles qui se meuvent dans l'espace, dans les sphères célestes, les voyageuses de l'espace, voyageurs célestes, guerriers de l'espace, qui volent dans le ciel, anges, celles qui évoluent dans le ciel, danseur, messager céleste, déambulant-dans-le-ciel","(RY) mkha' 'gro :
a daka. ( ma) - dakini; sky-goer/ dancer; 1) dakini. Syn {mkha' 'gro ma}. 2) [sometimes also both daka and dakini when {mkha' 'gro} + {mkha' 'gro ma} when {mkha' 'gro} + {mkha' 'gro ma} 3) birds. 4) devas. 5) possessor of spiritual daka power in male form, 6) a class of sky going beings. 7) goddess or female tantric deities who protect and serve the tantric doctrine. 8) daka. male space-farers or viras {dpa' bo}, celestial flight; daka; sky-goer/ dancer; goddess [sky goers], possessor of spiritual daka power in male form 

• une yoginī qui a obtenu l'éveil
• une déité qui prend naissance dans les terres pures ou dans le saṃsāra et qui protège le pratiquant 
• aspect de sagesse de l'éveil 
• il y a trois sortes de ḍākinī : 
1) celles “nées des mantra” (sngags skye), créées dans le stade de production 
2) celles “nées des domaines” (zhing skye), ce sont celles du stade de réalisation mais qui sont encore des êtres ordinaires et qui prennent naissance dans les 24 “contrées” 
3) celles “nées spontanément” (lhen skyes), celles qui ont obtenu la réalisation de la claire lumière et des trois isolements (GCLAvr93)

• déf CG p 252, CDN p 40 n 19, LB p 241, FG p 159, DT p 162, LYN II p 159 n 69, OTT p 38 n 38, LYN p 226 n 86, p 36

• “ange” vient du grec anggelos, messager ; ésotériquement les anges sont les puissances ministres des volontés divines
• représentent le jeu naturel de la manifestation des phénomènes ; la danse de l'intelligence immédiate spontanée, lumineuse et vide, l'unique source de tout accomplissement",60
mkha' spyod ma,"khasarpaṇa, khecara",,"Khecari 
Jouisseuse de l’espace
","“jouissance de l'espace”, maître de l'espace, jouisseur d'espace, dont le domaine d'activité est l'espace","terre pure a laquelle un pratiquant peut accéder sans quitter sa forme ordinaire (GCLAvr93)
indique l'accomplissement du voyage céleste.
→ GY II p 171, VNS p 31 n 13",61
mkhas pa ,"paṇḍita, kovida",,"Erudit, 
Habile, adroit, dextre","érudit, expert, virtuose, le sage, agile, adresse, savoir faire, adroit, habile, talent, expertise, ",,62
mkhyen pa ,jñāna,,"Connaisseur,
Connaissance.","connaître, connaissance, comprendre ",,63
'khor 'das ,,,"Samsara et nirvana
Le cycle et son au delà","les cycles du samsāra et l’au-delà du nirvāna, samsāra et nirvāna, ",déf BD p 356,64
'khor ba ,"saṃsāra, alali",cyclic life (SL MW),"Le samsara,
Tourner
Le cycle,
","cycle des existences, de l’existence, existence cyclique ; roue de l’existence, de la vie, du saṃsāra ; transmigration ; ronde des renaissances, de l’existence, cercle vicieux, des vies, ; continuum du cycle, transmigration samsarique, errance cyclique (dans le saṃsāra), cycle vicieux du saṃsāra, tourbillon de la confusion
tourner (en rond), faire une rotation, ce qui tourne, tournoie, cercle, roue (auto tournante), rotation continue(lle)
le monde
l’entourage (de déités), les courtisans, périphérie, auditeurs, disciples, étudiants, cour,","le monde des six classes d'êtres, les agrégats d'attachement impurs (GCLAvr93)
→B° p 109",65
'khor lo ,cakra,,"La roue, chakra","roue, disque, chakra, cycle, sphère, centres psychiques, points focaux du corps subtil","nœuds de ramifications secondaires qui parsèment le canal central
→ TY p 213",66
'khor gsum ,"trimaṇḍala, trivarga ",three spheres (SL BP),"Les trois sphères, les trois mandalas","la triple saisie, les trois sphères des concepts, d’un acte, les trois polarités de l’expérience, la triade, cycle composé de trois éléments, la triple polarité de l’acte, d’une action, les trois manivelles de l’acte, triple roue, triple cycle sujet-objet-action, trois types de conceptualisation, les trois facteurs, éléments de toute action, le cercle de trois, les trois roues sujet-objet-acte, les concepts des trois éléments, les trois extrêmes, cercles, éléments, sphères, pôles","celle d'un sujet, d'un objet et d'un acte comme ayant une existence propre (GCLAvr93)",67
'khor lo gsum ,tricakra,,"Les trois cycles (de l’enseignement du Bouddha) 
Les trois roues,
",,"les trois cycles d'enseignement :
1) la roue du Dharma des quatre nobles vérités (principalement les enseignements du petit véhicule)
2) la roue du Dharma d'absence de caractéristiques (prajñāpāramitā, les sūtra sur la perfection d’intelligence)
3) la roue du Dharma du parfait discernement (sūtra formant la base de la philosophie Yogācāra, idéaliste) (GCLAvr93)",68
'khyams pa ,,,"errer, vagabonder,","errer, vagabonder, aller, partir à la dérive",,69
‘khrul ‘khor ,yantra,,Yantra (yoga),"les “machines”
les artères du corps
machination, engrenage, mécanisme, structure, artifice
illusions, affaires de ce monde",,70
‘khrul snang ,,,Apparences illusoires,"apparences, perceptions, projections, identifications trompeuses, égarées, fausses, confuses, erronées, illusoires, imaginaires, déconcertantes, manifestations erronées, rêves hypnotiques, fantaisies fictives (de l’esprit), jeu de la lumière, fausse apparence, le monde de l’illusion, mirage, hallucination, l’ensorcellement du monde phénoménal.",,71
"'khrul ba 
= ‘khrul pa ","skhalita, bhrānti",,Illusion,"erreur, illusion, erroné, fantasmes, fantaisie, délire, trip, déliriume, illusoire, leurre, hallucination, trompeur, égarement, errements, tromperie, méprise, confusion, prolifération de l’illusion, fiction, déception, projections erronées",connaissance erronée par rapport à l'objet qui lui apparaît (GCLAvr93),73
Ga ,,,,,,74
gang zag ,pudgala,person (SL BP),personne,"individu, personne, êtres mondains.","l'être ou personne qui est désigné en dépendance de quatre ou cinq agrégats, ses bases de désignation (GCLAvr93)",75
gang la gang 'dul ,,,Aider chacun selon ses besoins,aider chacun selon ses besoins.,,76
gol sgrib med pa ,,,Sans erreur et sans voile,"sans erreur
ni/ou
obscurcissement, ombre",,77
grwa zur med pa ,,,Sans angle,"sans bords 
ni 
coins
sans, il n'est pas, dépourvu de angles",,78
grub thob ,siddha,,"Siddha
Accompli
Réalisé","(être) accompli, réalisé, adepte (tantrique), maître adepte, maître accompli, détenteur des siddhis",,79
grub mtha' ,siddhānta,"philosophical tenet system, philosophy, doxography (SL BP)",Perspective philosophique,"théorie philosophique, systèmes, vues, écoles théoriques, philosophiques","système philosophique, perspective philosophique (GCLAvr93)
déf. DT p 181",80
grub bsal ,,,Etablir ou dissiper,"affirmation de quelque chose, accompli, créé, confirmé, établi, maintenir, ajouté,
et/ou 
rien, dissous, réfuté, clarifié, dissipé, abandonné, mis à l'écart","(RB) grub bsal :
 {grub bsal med pa} (without being) something to be proven (to exist)/ established and from which nothing need be excluded; (not to be) *; nothing to be added or removed",81
grogs ,,,"Ami, aide","ami, soutien, support, compagnon, aider, adjoints, partenaire, assistance",,82
"grol ba 
= 'grol ba 
","tara, sandhyābhāṣa, mokṣa, mukti",,Etre libéré,"état d'émancipation (du saṃsāra), (s')affranchir de, libération, être libéré, relâcher",,83
glo bur,,adventitious (SL BP),Adventice,,,84
glo bur gyi dri ma ,āgantuka kleśa,incidental defilements (SL MW),Impuretés adventices,"obscurcissements, distorsions, taches, impuretés contingentes, soudaines, temporaires, apparus soudainement, adventices",,85
"glod pa 
= lhod pa ",,,"Détendre, relâcher
Détendu, relâché","se détendre, (se) relâcher, (être) à l'aise, facilement
désinvolte, nonchalant, relâché",,86
dgag sgrub ,,,"Arrêter ou activer
Entraver ou produire
Stopper ou induire","supprimer, nier, arrêter, rejeter, négation, stopper, réfuter,
et/ou
créer, établir, accepter, affirmation, défendre, prouver, produire
discrimination",,87
"dge bsnyen 
= dge bsnyen ma ","upāsaka, upāsikā",,"Upasaka / Upasika.
Apprenti(e) de la vertu 
Pratiquant(e) dans la vie","“pratiquant(e) du bien”
fidèle laïc(que)",,88
dge 'dun ,saṃgha,,"Le Sangha,
Communauté, confrérie
","“aspirants au bien, à la vertu”, “vertueuse assemblée” 
communauté (monastique), congrégation, noble assemblée","Le sangha monastique est constituée d'au moins trois ou quatre moines ayant reçu l'ordination majeure.
Le sangha est constitué des compagnons qui aident l'étudiant engagé dans l'abandon des passions (GCLAvr93)",89
"dge sdig 
= dge mi dge ",,,"Actes positifs ou négatifs,
Vertus et vices
Vertus et non vertu","actions, actes positives, vertueux, vertu, méritoire, le bien, bénéfiques
et/ou
négatives, nuisibles, péchés, non vertueux, vice, non méritoire, le mal, fautes",,90
dge ba ,"kuśala, kśema, vara, puṇya, śubha, kalyaṇa",,"Vertu,
Bien, bon","la vertu, le bien, entier, vrai, sain, parfait, positif
conduite vertueuse, bonnes actions, qualité vertueuse, activité positive, acte méritoire, bienfaits, facteurs vertueux, actions bénéfiques","(RY) dge ba :
 *; good, happiness, welfare, happy, propitious, positive, merit, deeds, virtuous, wholesome, goodness. {las dge ba}. virtuous deeds. virtuous; syn {legs spyad dang gtsang byed} good deeds or purifying actions facteur dont la maturation produit des effets heureux (GCLAvr93)",91
dge sbyong ,śrāmaṇa,,"Pratiquer la vertu,
S’entraîner à la vertu","ascète (spirituel), moine, qui s'entraîne à la vertu, “bien entraîné en la vertu”, pratiquants (bodhisattvas)",,92
"dge tshul 
= dge tshul ma ","śrāmaṇera, śrāmaṇerikā",,"Sramanera / Sramaneri
Premier niveau de l’ordination monastique :
« Celui (celle) qui a des manières vertueuse »","Premier niveau de l’ordination monastique, moine ou moniale ayant reçu l'ordination monastique mineure, novice, “qui s'entraîne aux conduites vertueuses”",,93
"dge slong 
= dge slong ma ","bhikṣu, bhikṣuṇī",,"Bikshou / Bikshouni
Moine ou moniale pleinement ordonnée :
“Celui (celle) qui développe la vertu”.","moine ou moniale pleinement ordonnée, ayant reçu l'ordination monastique majeure, complète",,94
"dge bshes 
= dge ba'i bshes bsnyen ",kalyāṇamitra,,"Kalyanamitra
Ami de vertu","ami spirituel, de bien, de vertu, mentor sur la voie de la vertu",celui qui montre ce qu'il faut faire et ce qu'il ne faut pas faire (GCLAvr93),95
dgongs pa ,"abhiprāya, sandhi, śaya, tātparya, abhiprāya","thought, intention (SL BP)","Penser (honorifique)
Intention,","h de pensée, penser, réfléchir, intention (spirituelle), dessein, pensée des bouddhas, esprit de sagesse, état, esprit primordial, réalisation d'un maître, état de réalisation, la pensée, l'intention profonde (du bouddha), vision, contempler qqch
s'occuper de, se soucier de, penser à","(RY) dgongs pa :
{dgongs pa sangs rgyas kun dang dbyer med par bzhugs} his wisdom mind is inseparable from that of all the Buddhas. {dgongs pa, dgongs pa, dgongs pa, dgongs} trans. v. . (h) Of {bsam pa}. 1) mind, frame of mind, attitude, intention, thought, consideration, viewpoint, idea. 2) [to emphasize the honorific] enlightened intent, wisdom mind, realization, insight, vision, wisdom, meditation, deep experience. 3) to think, consider, concentrate upon, reflect, understand, give thought to, care for, feel, regard, realize, know, decide, intend. 4) meaning, intent, implication, understanding, cognizance, necessity, intimation, interpretation; {kyi dgongs pa} enlightened intent behind. 5) implicative, meant for, intended to be. 6) deepest sense, primordial condition, deep structure. intent, realization [thd]",96
